Norma,Descripción,Obligaciones,Entidad reguladora,Acciones necesarias
Resolución 0472 de 2017,Se reglamenta la gestión integral de los residuos generados en las actividades de construcción y demolición - RCD,"* Priorizar el aprovechamiento de los RCD frente a su disposición final.
* Formular, implementar y mantener actualizada la MMA de RCD",Ministerio de ambiente y desarrollo sostenible,Actualizar la MMA para la correcta gestión de RCD
Resolución 1257 de 2021,Se actualiza la Resolución 0472 de 2017 con nuevas definiciones y objetivos de aprovechamiento,"* Metas de aprovechamiento en función de la categoría del municipio.
* Reportes trimestrales de la implementación de la MMA de RCD",Ministerio de ambiente y desarrollo sostenible,"* Cumplir las metas de aprovechamiento solicitadas
* Informe trimestral de seguimiento del PMA de RCD para grandes generadores"
